,summary,Mitigation,Hazard,Causes,Impacts,word
not+stand thailand+s,8.65961424862684,-0.010752120547012939,0.003709229653822418,0.01490481461774827,-0.0053691254471645855,not+stand thailand+s
aus+ge+ruf+en der,10.127638429879358,-0.008293608462610593,0.0031379410304000887,0.013273906137660534,-0.006067021058421479,aus+ge+ruf+en der
der schwer+e,146.95267572847698,0.015957764255223654,-0.003184917150956128,-0.00457853394993416,-0.011163630168263902,der schwer+e
südostasien thailändisch+en,11.60337729393803,-0.006292303664637681,0.0026698874997784436,0.011927922277714083,-0.006622292471380094,südostasien thailändisch+en
schwerwiegende,15.876834439896985,-0.00209537209029433,0.0016801115489246674,0.009055852855441962,-0.007754054146074025,schwerwiegende
bangkok schwerwiegend+e,12.188552058787927,-0.0055968382310014565,0.0025066267539006052,0.01145649588492103,-0.006812751575219233,bangkok schwerwiegend+e
schwerwiegend+e folge+n,15.070980602229733,-0.0027554676978181676,0.0018364888190221776,0.009511754415325938,-0.007578697287786858,schwerwiegend+e folge+n
folge+n wie,11.163703598756989,-0.006848669872970938,0.0028002708253494113,0.01230370805079387,-0.006469019400568999,folge+n wie
dortige,15.585846392609879,-0.0027763492971428876,0.001294040393871524,0.008778100395389872,-0.006318878192161179,dortige
wie dortig+e,10.886188385043484,-0.007895355709742924,0.002219329289227072,0.011888656310713196,-0.004294484832489078,wie dortig+e
dortig+e polizei,10.639300103090722,-0.00928303352416644,0.001268337935854343,0.011092803941034879,-0.0010105621997454073,dortig+e polizei
polizei freitag,10.337481328915965,-0.011313210230323775,-0.0002024333413177458,0.009820195556092367,0.003947627104030758,polizei freitag
freitag mit+teil+te,7.597059817571356,-0.019503835299018713,-0.0022021310347795026,0.009968196693753279,0.014958997766178045,freitag mit+teil+te
mit+teil+te stürz+te,7.443121618520838,-0.022824736835036337,-0.00502099918180312,0.007319669426648005,0.02379392929074285,mit+teil+te stürz+te
stürz+te bau,4.980892281674492,-0.04456519194715953,-0.016784977346849816,-0.001186985138060189,0.06552880194887131,stürz+te bau
befindliches,22.589315388337248,-0.016801240518651138,0.007593238439324345,-0.012304978598804892,0.022736162404502408,befindliches
bau befindlich+es,22.589315388337248,-0.016801240518651138,0.007593238439324345,-0.012304978598804892,0.022736162404502408,bau befindlich+es
befindlich+es hochhaus,22.062850592703047,-0.020649524418602055,0.010065790549482851,-0.015643427044907832,0.02755121096389253,befindlich+es hochhaus
Unter,26.12639996061833,-0.008441517277350744,-0.011616906506635003,-0.006799678730279546,0.02704524759867504,Unter
unter trümmer+n,5.9056730822520835,-0.13169783073076496,-0.10605010115138301,-0.09112747891392864,0.2796334137921236,unter trümmer+n
unfertigen,5.684382588672526,-0.0600145418433307,-0.03519946880945786,-0.02054367531120201,0.11348829309085577,unfertigen
trümmer+n un+fertig+en,5.684382588672526,-0.0600145418433307,-0.03519946880945786,-0.02054367531120201,0.11348829309085577,trümmer+n un+fertig+en
Wolkenkratzers,14.110679386522998,0.05286080256827569,-0.036687986355967546,-0.028395112626326813,-0.000705766371693326,Wolkenkratzers
un+fertig+en wolke+n+kratzer+s,5.767538090065819,-0.04232583414394146,-0.018298082875565023,-0.0038961962642512973,0.06695254703346448,un+fertig+en wolke+n+kratzer+s
Norden…,6.044111252307913,-0.026121868989004832,-0.003598203025690871,0.010314307727178645,0.023291862272698645,Norden…
wolke+n+kratzer+s norden…,6.044111252307913,-0.026121868989004832,-0.003598203025690871,0.010314307727178645,0.023291862272698645,wolke+n+kratzer+s norden…
norden… kopier+e,6.21715939886704,-0.0207906320817691,0.000951500141072852,0.014607504699515656,0.008989055955865837,norden… kopier+e
hinzu+füg+en der,86.36183218708668,0.010762384674712473,0.005922257273381576,-0.004510911234185543,-0.01424093964010139,hinzu+füg+en der
+977,5.057542722031394,-0.02077416790455929,0.005992722420804338,0.021271225423190068,-0.0023158239509669127,+977
freitag +977,5.057542722031394,-0.02077416790455929,0.005992722420804338,0.021271225423190068,-0.0023158239509669127,freitag +977
+977 chars,5.008803378065555,-0.020982171722528413,0.006039313805056231,0.021398332526706317,-0.0022486316182859932,+977 chars
bangkok nachbar+land,5.427887173541003,-0.019290175920338107,0.0056593600527126775,0.02035836119647447,-0.0027905671195746335,bangkok nachbar+land
Geoforschungszentrum,19.246510788859528,-0.0011093517323669591,0.0052227808469998685,0.006130702047336039,-0.009680750398463377,Geoforschungszentrum
deutsch+e geoforschungszentrum,12.870655128104518,-0.006962167216292332,0.00878933260046412,0.008873737696963023,-0.009099592537696275,deutsch+e geoforschungszentrum
geoforschungszentrum gfz,9.690944324171033,-0.011144309651756315,0.009911320830528942,0.011602912200228719,-0.008011028915189459,geoforschungszentrum gfz
meld+ete beb+en,4.560461334887094,-0.02305794376909444,0.006502461872568966,0.02265542008932543,-0.0015693129453028367,meld+ete beb+en
"7,4 us+-+erde+beben+warte",4.42379110973677,-0.023756570224771234,0.006657600931887966,0.02307386523209187,-0.001337096033007818,"7,4 us+-+erde+beben+warte"
us+-+erde+beben+warte der,4.328596751075434,-0.02426398079486956,0.006770045329779541,0.023376320063988043,-0.0011673095303186129,us+-+erde+beben+warte der
erde teils,22.406569171185083,-0.0160937361608001,0.04497095299359668,-0.01146015547070614,-0.016726574437221996,erde teils
teils minutenlang,21.828752177834303,-0.020816008217255537,0.058013321603799774,-0.015607123466722104,-0.02127184994665791,teils minutenlang
minutenlang ge+beb+t,4.203590928910815,-0.02495826367115906,0.0069235849589444525,0.02378817920115307,-0.000933460066450232,minutenlang ge+beb+t
ge+beb+t heiß,4.175470529669575,-0.02511906067013879,0.006959092924180076,0.023883240001262643,-0.0008790482364309199,ge+beb+t heiß
zudem registrier+ten,4.125622983437043,-0.025408453744912296,0.007022948861520367,0.024054016308909548,-0.0007808829093031613,zudem registrier+ten
US-Forscher,4.070247671108459,-0.025736669284577685,0.007095294663352979,0.024247223166040693,-0.0006691788666441204,US-Forscher
registrier+ten us+-+forscher,4.070247671108459,-0.025736669284577685,0.007095294663352979,0.024247223166040693,-0.0006691788666441204,registrier+ten us+-+forscher
us+-+forscher wenig,4.035727620716826,-0.02594497356128329,0.007141167320985645,0.024369579480425858,-0.0005980817436121164,us+-+forscher wenig
wenig spät+er,12.966840108570967,-0.004742211234320921,0.002305584031588285,0.010874664109790289,-0.0070451331191611274,wenig spät+er
weiteres,18.770049107306185,-0.008985676751144617,0.028118827319746346,-0.0010991680544282815,-0.017077205588008248,weiteres
spät+er weit+er+es,3.989748567600491,-0.02622697828050389,0.007203218236707321,0.02453490117914446,-0.0005015786195660413,spät+er weit+er+es
weit+er+es erbebe+n,3.9666757261522045,-0.026370499438713762,0.007234774974017686,0.02461889502179037,-0.0004523544538827317,weit+er+es erbebe+n
angabe+n thailändisch+en,3.8515282460876588,-0.027524342573081638,0.008649643175347213,0.024648419874630942,-0.0006011513388445698,angabe+n thailändisch+en
Katastrophenschutzbehö…,3.8225727150080857,-0.028117854257027425,0.009899387343423651,0.0243728579959151,-0.0009239033274363488,Katastrophenschutzbehö…
thailändisch+en katastrophenschutzbehö…,3.8225727150080857,-0.028117854257027425,0.009899387343423651,0.0243728579959151,-0.0009239033274363488,thailändisch+en katastrophenschutzbehö…
+1073,3.77743213006294,-0.029062060102993427,0.011886306401088028,0.023932396350944227,-0.0014385051007651144,+1073
katastrophenschutzbehö… +1073,3.77743213006294,-0.029062060102993427,0.011886306401088028,0.023932396350944227,-0.0014385051007651144,katastrophenschutzbehö… +1073
